START IONS
TITLE=RT8.97  CE20EV Oleandrigenin-β-D-digi (Neritaloside) 
CHARGE=1+
PREMASS=593
77	1.59
85	1.86
87	11.36
88	0.19
89	0.71
99	0.57
111	0.57
115	0.6
116	0.17
117	3.11
129	13.83
130	0.63
143	2.15
144	0.48
161	8.44
162	0.63
165	0.85
213	0.42
215	0.19
231	0.39
233	0.53
263	0.18
309	0.67
319	0.57
328	0.29
337	11.91
338	1.5
353	0.6
354	0.4
355	29.45
356	5.49
357	0.85
371	0.24
372	0.62
373	100
374	19.51
397	0.28
415	5
416	0.93
431	0.35
433	30.51
434	7.01
435	0.33
465	0.21
497	0.42
515	0.91
516	0.36
533	6.05
534	1.84
594	0.31
END IONS

