START IONS
TITLE=RT9.96 CE20EV Digitoxigenin
CHARGE=1+
PREMASS=375
55	14.95
67	25.29
69	11.22
79	30.13
81	84.4
83	34.03
91	23.82
93	75.95
95	88.09
105	68.49
107	100
109	50.15
111	12.83
117	11.55
119	31.93
121	61.64
125	19.16
131	29.1
133	37.13
135	78.95
143	18.4
145	39.12
147	33.91
149	23.77
157	17.11
159	45.73
161	52.68
163	17.94
171	21.49
173	23.57
175	19.54
177	19.86
183	14.94
185	30.73
187	41.85
189	19.15
197	17.57
199	20.89
201	19.82
203	13.19
205	12.32
211	11.67
213	15.58
215	11.4
231	15.11
279	16.83
293	31.15
321	34.97
339	70.6
357	31.57
END IONS

