START IONS
TITLE=RT8.98  CE20EV Gitoxigenin
CHARGE=1+
PREMASS=391
79	4.05
81	7.84
93	6.49
95	12.96
97	3.29
105	10.82
107	100
108	4.06
109	3.6
119	6.89
121	6.74
131	11.72
133	5.43
135	5.93
143	6.29
145	25.41
147	19.21
149	9.68
157	7.95
159	14.06
161	11.97
163	3.79
165	5.94
169	3.13
171	5.96
173	57.39
174	4.43
175	11.76
177	8.85
185	5.23
187	8
189	6.22
191	40.98
197	2.99
203	3.06
209	5.06
215	3.88
253	27.55
254	3.28
271	22.41
272	3.03
295	3.21
309	3.01
319	9.91
337	33.76
338	4
355	34.06
356	4.1
373	13.26
374	4.54
END IONS

