START IONS
TITLE=RT10.74 CE20EV  Digitoxigenin-β-D-sar 
CHARGE=1+
PREMASS=519
59	0.37
69	1.29
71	0.24
81	1.39
86	0.23
87	0.54
95	9.62
96	0.31
97	0.36
101	3.15
105	0.71
107	1.2
112	0.96
113	100
114	3.68
121	0.41
127	1.01
133	0.26
135	0.5
143	0.23
144	1.66
145	97.35
146	3.23
178	0.25
189	0.34
205	1.32
219	0.53
231	0.23
233	0.23
245	0.62
293	1.21
295	0.41
321	0.58
339	23.56
340	3.28
357	11.36
358	1.02
375	56.6
376	11.1
377	0.23
388	0.24
434	0.29
451	1.38
469	0.47
483	1.2
484	0.36
501	3.88
503	1.65
519	2.18
520	0.97
END IONS

