START IONS
TITLE=Mangifera indica
CHARGE=1+
PREMASS=*
150	25.13
155	27.09
161	61.71
163	15.76
165	32.06
179	22.76
181	47.2
193	20.45
195	21.3
197	19.16
201	24.79
205	38.68
207	16.4
209	24.01
214	29.88
215	23.59
219	25.67
224	44.12
253	17
257	44.83
275	21.26
277	18.39
279	44.76
297	21.69
303	27.48
305	16.44
311	19.16
325	18.81
329	16.67
331	27.62
337	33.6
355	20.45
371	21.77
373	16.53
381	59.05
391	26.49
403	19.1
405	17.19
407	28.33
409	33.07
415	15.9
423	100
424	23.17
425	45
429	62.48
430	36.41
431	27.35
439	17.33
441	16.85
445	89.14
446	31.4
447	24.04
463	17.87
465	18.46
523	16.31
529	29.84
540	37.42
541	15.74
558	16.63
561	32.6
593	17.12
607	29.29
756	18.45
871	26.81
872	17.61
885	15.95
887	29.62
888	16.5
907	21.52
908	17.56
917	18.16
939	32.7
940	23.81
954	27.67
955	18.08
END IONS

START IONS
TITLE=Mangifera indica
CHARGE=1-
PREMASS=*
175	14.06
183	55.51
191	33.7
201	15.44
217	90.22
255	63.8
256	10.97
277	47.56
278	9.84
279	30.73
281	30.48
283	21.65
293	8.97
301	8.62
311	14.44
325	9.92
335	58.65
336	9.71
339	9.96
341	26.99
343	17.25
345	33.16
346	8.7
355	12.56
363	9.5
373	8.2
375	12.13
377	12.49
385	9.64
387	8.45
391	8.95
401	8.53
407	28.91
409	9.45
414	12.89
415	8.21
421	100
422	20.76
423	68.68
424	15.93
429	8.38
431	13.19
433	10.73
437	13.4
445	8.66
447	9.27
453	18.5
455	12.01
463	18.76
464	9.96
469	26.41
487	11.24
521	18.17
527	20.62
529	8.86
539	9.48
543	11.14
545	20.49
559	33
560	10.8
575	10.99
621	17.78
671	10.04
683	9.68
697	11.45
815	12.53
825	9.96
843	10.41
847	16.11
848	8.34
965	12.03
966	9.46
997	16.67
998	11.88
999	9.05
END IONS


