START IONS
TITLE=RT8.76  CE20EV Δ16Adynerigenin-β-D-digi-β-D-gul
CHARGE=1+
PREMASS=710
57	0.88
59	0.9
77	3.42
78	0.7
83	2.36
85	15.52
86	1.73
87	50.44
88	2.38
89	0.69
99	5.42
101	0.72
110	1.35
111	13.08
112	0.56
115	2.56
117	8.44
127	1.95
129	21.69
130	0.79
143	11.36
144	1.39
145	0.76
161	31.25
162	1.59
163	1.7
175	17.29
176	1.57
178	0.61
179	0.66
180	1.74
199	1.82
217	1.44
237	2.63
255	4.01
273	7.7
274	0.89
305	0.52
323	0.97
340	0.57
353	15.34
354	3.48
370	0.98
371	100
372	16.33
482	1.54
531	1.71
532	1.41
710	11.13
711	6.39
END IONS

