START IONS
TITLE=RT8.30  CE20EV Adynerigenine-β-D-sar-β-D-glu-β-D-glu 
CHARGE=1+
PREMASS=858
69	1.95
71	0.55
73	0.58
85	2.89
91	0.61
95	18.24
96	0.76
97	5.24
112	0.67
113	100
114	4.85
127	0.63
128	0.52
145	17.32
163	7.1
185	0.55
189	1.44
195	0.77
207	3.12
257	1.87
271	0.49
275	20.43
276	1.54
307	1.06
325	19.89
326	1.96
355	0.59
373	69.49
374	10.93
417	3.98
437	1.42
438	0.85
469	0.74
485	26
486	5.6
517	24.99
518	4.6
535	6.64
536	1.15
647	19.53
648	7.88
649	0.55
679	16.66
680	7.67
698	2.01
810	1.74
842	0.62
858	1.99
859	45.21
860	26.55
END IONS

