START IONS
TITLE=RT7.19  CE20EV  Odoroside G
CHARGE=1+
PREMASS=876
69	1.94
77	6.38
83	9.3
85	54.64
86	2.72
87	100
88	2.31
91	1.99
95	2.61
97	9.24
99	14.79
101	2.11
107	1.89
109	2.77
110	2.9
111	32.21
112	1.85
113	8.57
114	3.22
115	7.25
117	15.36
127	17.1
128	1.81
129	43.17
130	3.14
143	22.44
145	25.66
161	84.48
162	3.14
163	53.61
189	1.87
199	2.3
237	4.46
255	6.11
273	24.53
274	1.71
289	2.23
323	10.68
324	2.56
325	9.24
339	37.27
340	6.23
357	61.78
358	10.97
375	49.71
376	9.84
517	2.87
535	1.91
877	5.92
878	2.11
END IONS

