START IONS
TITLE=RT7.83  CE20EV ?16Anhydrogitoxigenin-?-D-digi-?-D-glu-?-D-glu

CHARGE=1+
PREMASS=874
85	0.56
87	0.98
111	1.08
117	0.72
118	0.77
119	0.32
127	0.41
129	2
143	1
161	6.99
163	2.09
255	1.07
272	0.5
273	10.16
274	0.7
287	1.25
289	0.65
291	0.73
305	0.71
322	0.47
323	55.06
324	3.9
325	17.19
326	1.21
337	0.31
355	6.15
356	0.62
373	60.69
374	12.64
399	0.55
435	3.06
436	0.98
449	0.29
465	0.39
483	0.56
484	0.42
485	6.34
486	0.98
501	2.35
502	0.63
515	0.78
533	11.06
534	3.16
535	2.48
536	0.76
696	0.79
873	0.57
874	2.3
875	100
876	48.14
END IONS

