START IONS
TITLE=RT8.03  CE20EV Δ16Adynerigenin-β-D-digi-β-D-glu-β-D-glu 
CHARGE=1+
PREMASS=872
87	1.24
117	0.59
118	3.14
129	2.42
143	1.7
161	5.94
163	2.45
175	0.65
255	1.11
273	12.42
274	0.63
287	0.87
289	0.49
291	2.22
305	1.24
323	69.35
324	5.76
325	19.64
326	2.86
353	4.53
354	0.68
369	0.57
370	1.55
371	100
372	16.83
435	4.36
436	0.53
449	0.82
453	0.68
481	2.22
485	8.72
486	1.11
499	2.34
513	1.68
514	0.77
529	0.98
530	1.07
531	14.82
532	4.1
533	3.57
534	2.03
625	0.52
643	0.56
660	0.92
693	1.44
695	1.7
871	0.57
872	1.86
873	92.84
874	39.44
END IONS

