START IONS
TITLE=RT8.10  CE20EV Gitoxigenin-β-D-digi (strospeside) 
CHARGE=1+
PREMASS=918
59	1.45
85	1.95
95	25.44
97	4.65
112	3.02
113	98.85
114	2.62
127	1.25
145	22.45
163	19.06
181	0.79
207	4.74
208	1.58
239	1.36
257	1.06
258	1.44
271	0.69
275	27.62
276	3.89
289	1.48
325	32.62
326	1.84
343	0.95
351	0.74
355	8.51
357	2.64
373	6.57
374	1.92
415	1.84
416	1.88
433	100
434	18.23
437	6.61
438	2.36
469	1.07
479	0.71
486	1.27
488	1.98
545	3.27
577	5.13
595	1.49
631	1.07
672	1.16
707	10.18
709	7.68
757	0.99
902	2.21
918	4.31
919	69.77
920	30.11
END IONS

