START IONS
TITLE=RT8.33  CE20EV Digitoxigenin-β-D-ole-β-D-glu-β-D-glu 
CHARGE=1+
PREMASS=860
71	1.58
85	2.53
87	0.99
95	19.65
97	1.06
112	2.89
113	100
114	3.86
121	0.73
127	2.59
137	0.61
143	0.52
145	33.83
146	0.82
163	16.41
164	0.8
179	0.71
187	0.63
189	3.45
198	0.89
207	4.98
239	1.63
257	5.26
271	0.55
275	21.81
276	4.48
307	1.33
325	29.33
326	2.54
339	2.72
340	0.96
357	12.5
358	2.19
375	30.5
376	3.97
419	0.85
437	5.71
438	0.62
469	1.43
487	0.6
501	0.45
502	0.4
519	1.11
631	2.05
632	1.94
645	0.54
649	1.1
682	0.42
861	18.83
862	7.57
END IONS

