START IONS
TITLE=RT9.61 CE20EV Δ16Anhydrogitoxigenin-β-D-dig-β-D-glu 
CHARGE=1+
PREMASS=696
57	0.19
59	0.22
67	0.43
69	0.92
70	0.18
85	1.96
90	0.21
95	3.94
97	4.88
101	1.38
103	0.19
109	0.18
112	1.08
113	100
114	3.22
127	0.17
130	0.21
135	0.1
144	1.52
145	40.68
146	1.89
163	1.47
175	0.2
179	0.17
180	0.28
181	0.17
189	1.24
191	0.12
197	0.13
207	1.29
229	0.12
239	0.25
257	0.57
274	0.3
275	7.34
276	0.9
324	0.45
355	1.51
356	0.18
371	0.17
373	15.05
374	2.31
405	0.24
485	0.91
629	0.1
647	0.2
648	0.55
696	7.84
697	2.08
698	0.15
END IONS

