START IONS
TITLE=RT6.95 CE20EV, Gitoxigenin-ß-D-digi-ß-D-glu (Digitalin) 
CHARGE=1+
PREMASS=730 
77	0.77
85	0.48
87	4.5
111	1.08
117	0.94
129	2.44
143	3.19
161	13.82
162	0.55
217	0.51
237	0.93
255	2.66
256	0.58
273	12.19
274	1.94
287	1.24
291	5.44
292	0.95
305	1.82
322	0.57
323	20.48
324	1.99
337	1.19
354	0.53
355	43.4
356	7.49
371	3.11
373	100
374	14.03
391	5.15
392	1.49
417	0.7
465	0.72
483	8.74
484	1.4
501	1.53
502	0.46
515	8.19
516	2.93
517	0.78
533	37.49
534	10.4
535	3.13
551	2.08
552	0.97
645	2.31
678	1.49
696	0.89
731	6.76
732	0.61
END IONS

