START IONS
TITLE=RT10.16 CE20EV Δ16Adynerigenin-β-D-dig-β-D-gul 
CHARGE=1+
PREMASS=694
59	0.55
67	1.1
69	1.18
71	0.49
81	0.38
85	3.33
87	0.49
95	6.14
97	1.43
101	0.14
111	0.76
112	2.8
113	100
114	4.25
144	1.01
145	33.45
146	1.92
159	0.63
161	0.44
162	0.12
163	3
164	0.24
180	0.26
185	0.61
189	0.38
207	0.35
255	0.29
257	1.89
266	0.24
273	1.15
275	7.8
276	2.66
324	0.46
325	0.24
329	0.15
353	0.33
371	23.21
372	0.64
373	5.32
483	1.74
484	0.72
515	0.65
537	0.14
645	2.82
646	1.02
647	0.28
662	0.59
694	0.48
695	6.33
696	1.35
END IONS

