START IONS
TITLE=RT8.03  CE20EV Digitoxigenin-L-dig-β-D-glu-β-D-glu (Odoroside A gentiobioside) 
CHARGE=1+
PREMASS=860
69	1.06
85	3.94
95	34.06
96	1.29
97	3.75
101	0.51
112	0.61
113	100
114	4.15
127	2.57
145	34.68
146	1.59
163	20.42
164	0.72
179	0.53
181	0.89
189	2.53
195	0.54
207	5.79
239	1.12
257	3.79
275	28.82
276	2.39
289	1.35
307	1.17
324	0.51
325	33.24
326	3
339	2.34
343	0.93
357	17.18
358	2.96
375	31.06
376	6.18
401	0.48
437	11.22
438	1.68
469	2.97
470	0.73
487	1.04
519	1.58
631	8.73
632	2.82
649	4.52
650	1.43
681	0.72
699	0.6
860	0.53
861	45.82
862	23
END IONS

