START IONS
TITLE=RT9.27 CE20EV Digitoxigenin-β-D-dig-β-D-glu 
CHARGE=1+
PREMASS=698
69	0.41
95	1.18
112	0.35
113	41.45
114	2.06
145	29.29
146	3.48
163	1.41
189	2.07
195	0.66
207	4.64
208	0.86
209	0.58
239	0.7
257	0.56
274	0.64
275	47.82
276	7.67
292	0.43
307	1.56
324	7.19
325	1.22
339	3.12
340	0.38
357	23.3
358	4.94
375	100
376	18.85
389	0.51
393	0.46
401	0.48
402	1.21
406	0.37
419	1.1
420	0.51
469	7.97
470	3.34
487	3.52
490	0.49
501	1.87
519	1.99
521	0.8
630	0.61
631	19.65
632	6.15
649	5.21
650	2.25
663	0.84
698	30.05
700	9.14
END IONS

