START IONS
TITLE=RT9.13 CE20EV Δ16Anhydrogitoxigenin-β-D-ole-β-D-glu-β-D-glu 
CHARGE=1+
PREMASS=858
69	1.38
71	0.34
85	5.64
87	0.31
91	0.62
95	23.52
96	0.98
97	4.92
101	0.68
109	0.57
111	0.33
112	0.86
113	100
114	3.96
115	0.36
127	4.59
144	0.82
145	39.83
146	1.74
162	0.42
163	23.79
164	1.04
175	0.41
179	0.43
181	0.62
189	1.96
207	3.56
231	0.54
239	0.99
257	3.66
258	0.3
271	0.33
274	0.33
275	15.86
276	1.41
289	1.4
307	0.37
324	0.5
325	21.91
326	2.08
355	0.94
373	18.7
374	3.36
437	1.9
485	0.79
486	0.55
647	0.36
858	0.48
859	21.96
860	10.2
END IONS

