START IONS
TITLE=RT9.83 CE20EV Gitoxigenin-β-D-dig 
CHARGE=1+
PREMASS=552
62	0.16
69	1.1
71	0.35
87	0.64
94	0.46
95	2.63
96	0.16
101	0.24
104	0.21
107	0.39
113	40.56
114	1.35
144	0.28
145	22.24
146	1.53
161	0.17
162	3.65
163	0.3
170	0.19
173	1.33
191	0.15
232	0.29
253	1.16
267	0.58
271	0.92
277	0.15
289	1.1
302	0.19
329	0.17
337	0.63
338	0.24
355	2.86
356	0.19
371	0.34
372	0.21
373	17.03
374	2.86
391	100
392	19.22
393	0.47
408	0.22
424	0.18
435	1.12
444	0.23
479	0.19
486	0.32
517	0.15
552	15.91
553	8.34
554	0.36
END IONS

