START IONS
TITLE=RT8.84  CE20EV Δ16Anhydrogitoxigenin-β-D-dig-β-D-glu-β-D-glu 
CHARGE=1+
PREMASS=858
69	1.16
85	4.42
94	0.34
95	36.53
96	1.73
97	3.73
101	0.49
112	0.68
113	100
114	4.85
127	2.55
144	0.48
145	40.56
146	2.18
162	0.35
163	23.07
164	0.63
175	0.39
181	1.43
189	2.62
195	0.34
207	4.89
213	0.29
231	0.61
239	1.08
257	3.59
258	0.32
271	0.53
275	28.72
276	2.65
289	2.18
307	1.42
324	0.35
325	34.57
326	3.69
343	0.72
355	1.21
373	24.11
374	4.24
437	8.13
438	0.89
485	2.1
486	0.67
518	0.29
535	0.48
647	1.09
648	0.44
857	0.35
859	61.92
860	33.02
END IONS

