START IONS
TITLE=RT8.95  CE20EV Δ16Adynerigenin-β-D-sar-β-D-glu-β-D-glu
CHARGE=1+
PREMASS=856
69	1.38
71	0.35
81	0.24
85	4.22
91	1.03
95	20.98
96	1.07
97	2.89
99	0.77
101	0.43
109	0.66
111	0.4
112	2.44
113	100
114	3.92
127	3.05
144	0.56
145	37.87
146	1.52
162	0.28
163	23.17
164	0.94
179	0.55
181	0.82
189	1.33
197	0.71
207	3.05
213	0.41
231	0.32
239	0.69
257	2.65
275	16.4
276	1.28
289	2.05
307	0.82
324	0.6
325	19.37
326	2.52
351	0.35
371	20.81
372	3.25
437	2.31
438	0.33
483	0.95
646	2.08
647	0.47
695	0.25
856	0.77
857	41.41
858	19.7
END IONS

