START IONS
TITLE=RT7.59  CE20EV Gitoxigenin-β-D-sar-β-D-glu-β-D-glu
CHARGE=1+
PREMASS=876
69	3.67
85	5.29
95	25.68
97	3.53
112	3.9
113	100
114	5.42
127	2.33
129	1.22
145	30.61
146	1.46
161	1.55
163	36.26
179	1.7
181	1.62
195	1.48
207	7.24
239	1.47
248	1.24
257	2.07
273	1.51
275	15.57
276	4.67
288	1.2
289	1.18
324	1.23
325	20.38
355	4.92
356	1.64
373	57.65
374	7.21
375	1.6
390	1.71
391	41.34
392	13.5
437	3.06
485	4.73
503	1.29
517	1.24
536	2.85
647	1.43
665	9.66
666	3.89
697	1.93
698	2.02
828	1.35
859	1.94
876	2.95
877	42.54
878	22.47
END IONS

