START IONS
TITLE=RT11.67 CE20EV Adynerigenine-β-D-dig 
CHARGE=1+
PREMASS=534
57	0.42
59	0.16
62	0.55
63	0.11
67	0.74
69	1.85
70	0.12
71	1.15
77	0.08
83	0.19
85	1.48
86	0.13
87	0.32
94	0.31
95	10.65
96	0.35
99	0.2
101	0.82
104	0.99
105	0.09
112	1.6
113	100
114	4.48
127	0.21
130	0.83
145	39.6
146	2.42
162	3.15
163	0.12
175	0.4
179	0.13
184	0.26
246	0.07
305	0.12
354	0.08
355	0.49
356	0.16
373	26.07
374	3.35
375	0.33
390	0.23
391	0.13
475	0.2
485	1.11
486	0.44
487	0.17
493	0.08
517	0.19
534	0.63
535	0.19
END IONS

