START IONS
TITLE=RT10.06 CE20EV Δ16Anhydrogitoxigenin-β-D-dig 
CHARGE=1+
PREMASS=534
57	0.33
59	0.18
61	0.31
62	1.08
67	0.23
69	1.35
71	0.37
77	0.32
85	1.14
87	3.39
95	6.03
96	0.31
101	1.73
109	0.32
110	0.44
112	1.16
113	100
114	2.7
121	0.44
125	0.27
130	0.33
143	0.33
145	44.64
146	2.83
147	0.65
161	0.33
162	5.7
175	0.69
200	0.06
213	0.07
215	0.33
293	0.25
339	0.45
355	0.81
371	0.15
372	1.89
373	42.14
374	7.84
375	0.53
390	0.18
392	0.22
406	0.25
417	1.13
450	0.56
485	3.36
486	2.76
487	0.41
517	0.29
535	4.97
536	2.38
END IONS

