START IONS
TITLE=RT9.33 CE20EV Δ16Adynerigenin-β-D-dig-β-D-glu-β-D-glu 
CHARGE=1+
PREMASS=856
67	0.44
69	1.47
71	0.45
85	6.19
91	0.55
94	0.33
95	22.61
96	0.93
97	4.95
99	0.41
101	0.82
109	0.68
112	0.75
113	100
114	4.64
115	0.33
127	3.79
144	0.54
145	38.75
146	1.89
162	0.35
163	22.09
164	0.81
175	0.37
179	0.5
181	0.51
189	2.07
195	0.35
207	2.09
213	0.39
239	1.13
257	3.86
271	0.37
275	13.88
276	1.22
289	1.48
307	0.61
324	0.39
325	19.43
326	1.9
353	0.48
370	0.43
371	20.02
372	4.25
437	1.86
438	0.36
483	0.82
645	0.82
857	17.48
858	9.43
END IONS

