START IONS
TITLE=RT11.44 CE20EV Adynerigenine-β-D-sar 
CHARGE=1+
PREMASS=534
57	0.06
59	0.15
62	1.12
67	0.26
68	0.06
69	0.49
71	0.43
85	0.36
87	0.13
95	1.72
96	0.32
97	0.07
101	0.08
112	0.38
113	100
114	2.88
130	1.48
145	46.97
146	1.51
147	0.24
161	0.05
162	8.96
163	0.64
179	0.03
191	0.03
339	0.25
355	0.07
372	0.45
373	32.64
374	5.49
375	0.12
383	0.11
389	0.06
390	0.53
391	0.22
405	0.69
406	0.13
417	1.5
419	0.08
449	0.03
468	0.07
485	12.66
486	3.57
517	0.19
518	0.17
526	0.06
527	0.19
534	0.08
535	1.46
555	0.12
END IONS

